pressure_mb,verticalWind_ms,AmbientTemperature_K
576.08,-1.27,313.58
572.82,-0.89,313.25
569.55,-0.50,312.92
566.79,0.47,312.78
566.79,0.86,312.71
564.78,0.65,312.49
562.64,-0.63,312.34
561.39,-0.34,312.20
562.14,0.00,312.25
561.44,-0.16,312.29
560.75,-0.32,312.34
561.38,-0.38,312.34
561.38,-0.32,312.34
563.64,-0.36,312.41
564.78,-0.68,312.41
563.52,-0.57,312.34
561.51,-0.52,312.24
561.13,-0.42,312.15
560.75,-0.33,312.05
561.63,-0.36,312.41
561.76,-0.33,312.49
562.26,-0.43,312.34
561.51,-0.41,312.12
561.63,-0.32,312.49
562.89,0.00,312.41
562.83,-0.23,312.38
562.76,-0.47,312.34
562.14,-0.43,312.34
